Original,Character,Dialogue,Wordcount
"Sazh:Hey, Golbez!",Sazh," Hey, Golbez!",1
Sazh:Thanks for the new airship. It's been a big help.,Sazh, Thanks for the new airship. It's been a big help.,9
Setzer:Yes. It's got a great engine and is far faster and more comfortable than the last.,Setzer, Yes. It's got a great engine and is far faster and more comfortable than the last.,15
Golbez:You need not thank me. It was a hasty construction made with the power of my will.,Golbez, You need not thank me. It was a hasty construction made with the power of my will.,16
Noct:Can you really do something like that?,Noct, Can you really do something like that?,6
Golbez:There are several among Spiritus's chosen warriors who have superior strength of will and the ability to manipulate Torsions.,Golbez, There are several among Spiritus's chosen warriors who have superior strength of will and the ability to manipulate Torsions.,18
Bartz:Now that you mention it...,Bartz, Now that you mention it...,4
Squall:(So was the flower field Seifer was in Ultimecia's doing?),Squall, (So was the flower field Seifer was in Ultimecia's doing?),9
"Golbez:Spiritus doesn't ask his warriors to work together, so I cannot say what the others have done.",Golbez," Spiritus doesn't ask his warriors to work together, so I cannot say what the others have done.",16
Setzer:So it's no more than speculation at this point.,Setzer, So it's no more than speculation at this point.,8
Bartz:The Regalia?,Bartz, The Regalia?,1
Noct:My car back home.,Noct, My car back home.,3
Sazh:Same here! I'd love to give everyone a ride in the latest airship.,Sazh, Same here! I'd love to give everyone a ride in the latest airship.,12
Golbez:Your strength of will is by no means inferior to those of Spiritus's warriors.,Golbez, Your strength of will is by no means inferior to those of Spiritus's warriors.,13
"Golbez:Spiritus, who uses any means necessary, and Materia, who desires resolution without destruction...",Golbez," Spiritus, who uses any means necessary, and Materia, who desires resolution without destruction...",12
Golbez:The only difference between us may be that way of thinking.,Golbez, The only difference between us may be that way of thinking.,10
"Bartz:For someone who hasn't summoned anyone dangerous, Materia sure is a worrywart...",Bartz," For someone who hasn't summoned anyone dangerous, Materia sure is a worrywart...",11
Golbez:What is good and bad depends on the circumstances.,Golbez, What is good and bad depends on the circumstances.,8
"Golbez:I have not used my power for anything after that airship, and have no intention of doing so in the future.",Golbez," I have not used my power for anything after that airship, and have no intention of doing so in the future.",20
"Sazh:Good and bad depends on the circumstances, huh... I guess it's natural to err on the side of caution.",Sazh," Good and bad depends on the circumstances, huh... I guess it's natural to err on the side of caution.",18
"Setzer:He may be our ally now, but those Red Wings certainly made for a tough battle before.",Setzer," He may be our ally now, but those Red Wings certainly made for a tough battle before.",16
Squall:So things from other worlds mixing together is a danger in itself...,Squall, So things from other worlds mixing together is a danger in itself...,11
Bartz:I guess it's best if we try not to do it as much as possible.,Bartz, I guess it's best if we try not to do it as much as possible.,14
Setzer:I suppose I'll have to put the Blackjack on hold then.,Setzer, I suppose I'll have to put the Blackjack on hold then.,10
Golbez:It looks like the monsters are gone for now.,Golbez, It looks like the monsters are gone for now.,8
"Chelinka:Thank you, Mr. Golbez!",Chelinka," Thank you, Mr. Golbez!",3
Selphie:We'll give you a holler if we're ever in a pinch!,Selphie, We'll give you a holler if we're ever in a pinch!,10
"Cid:Hey, Golbez! Wait up!",Cid," Hey, Golbez! Wait up!",3
Golbez:...Did you need something?,Golbez, ...Did you need something?,3
Cid:What was it like? Tell me all about it!,Cid, What was it like? Tell me all about it!,8
Selphie:You're bursting with enthusiasm as usual.,Selphie, You're bursting with enthusiasm as usual.,5
"Irvine:At this rate, I doubt he'll let you leave until you give him an answer.",Irvine," At this rate, I doubt he'll let you leave until you give him an answer.",14
Golbez:And a race known as theLunariansresides on theother.,Golbez, And a race known as the Lunarians resides on the other.,7
Chelinka:Other worlds also have people connected to the moon...,Chelinka, Other worlds also have people connected to the moon...,8
Cid:People live on the moon!? I wish I could get close enough to meet 'em!,Cid, People live on the moon!? I wish I could get close enough to meet 'em!,14
"Golbez:Most Lunarians hope for friendship with those on Earth, but there are those who planned to invade it.",Golbez," Most Lunarians hope for friendship with those on Earth, but there are those who planned to invade it.",17
Golbez:Theonewho oncecontrolled mewas also a wicked Lunarian.,Golbez, The one who once controlled me was also a wicked Lunarian.,6
Cid:What!? That's terrible!,Cid, What!? That's terrible!,2
"Yuri:In our world, the moon is a symbol of evil.",Yuri," In our world, the moon is a symbol of evil.",9
Chelinka:The people who are corrupted by its power are called Lunites.,Chelinka, The people who are corrupted by its power are called Lunites.,10
Cid:You're all makin' the moon seem like a miserable place...,Cid, You're all makin' the moon seem like a miserable place...,9
Cid:Damn... There go my dreams...,Cid, Damn... There go my dreams...,4
Irvine:There's no need to get so down about it. These are stories of our own worlds.,Irvine, There's no need to get so down about it. These are stories of our own worlds.,15
Yuri:He's right. The moon in your world might be totally different.,Yuri, He's right. The moon in your world might be totally different.,10
Selphie:It might be a land of flowers and fluffy animals!,Selphie, It might be a land of flowers and fluffy animals!,9
Chelinka:Yeah! Maybe it's a super fun place!,Chelinka, Yeah! Maybe it's a super fun place!,6
"Cid:...I guess you're right. I won't know for sure until I see it with my own eyes, though.",Cid," ...I guess you're right. I won't know for sure until I see it with my own eyes, though.",17
"Cid:Alright! I'm definitely going to the moon someday, you'll see!",Cid," Alright! I'm definitely going to the moon someday, you'll see!",9
Yuri:I think it's a lot more fun that way. It'll definitely be different from our moons.,Yuri, I think it's a lot more fun that way. It'll definitely be different from our moons.,15
Golbez:I pray your journey is a safe one.,Golbez, I pray your journey is a safe one.,7
"Cid:Thanks, Golbez!",Cid," Thanks, Golbez!",1
Vivi:I wonder where Mr. Laguna went... I thought we told him not to wander off.,Vivi, I wonder where Mr. Laguna went... I thought we told him not to wander off.,14
Rinoa:Hey there! Looking for someone?,Rinoa, Hey there! Looking for someone?,4
"Onion Knight:...Yeah. We got separated from one of our friends. He's got a lousy sense of direction, so we gotta keep an eye on him...",Onion Knight," ...Yeah. We got separated from one of our friends. He's got a lousy sense of direction, so we gotta keep an eye on him...",23
Rinoa:Hmm... It sounds like he might be lost... Alright then. I'll help you look for him!,Rinoa, Hmm... It sounds like he might be lost... Alright then. I'll help you look for him!,15
Ace:Don't worry about it. This is our problem.,Ace, Don't worry about it. This is our problem.,7
Rinoa:I knew it! You're no ordinary student!,Rinoa, I knew it! You're no ordinary student!,6
"Rinoa:Some of my friends are students, too, so I'd feel terrible if I didn't help you out.",Rinoa," Some of my friends are students, too, so I'd feel terrible if I didn't help you out.",16
Onion Knight:But there are a lot of monsters in this area...,Onion Knight, But there are a lot of monsters in this area...,9
"Vivi:Oh no! There they are! Get behind us, miss!",Vivi," Oh no! There they are! Get behind us, miss!",8
Rinoa:Don't worry about me. I'll protect you!,Rinoa, Don't worry about me. I'll protect you!,6
Vivi:M-miss!? Don't just run off like that! It's dangerous!,Vivi, M-miss!? Don't just run off like that! It's dangerous!,8
Ace:Come on. Let's go!,Ace, Come on. Let's go!,3
Rinoa:Yay! We did it!,Rinoa, Yay! We did it!,3
"Onion Knight:What were you thinking, running off like that!? Be more careful!",Onion Knight," What were you thinking, running off like that!? Be more careful!",10
"Rinoa:But we won, didn't we?",Rinoa," But we won, didn't we?",4
"Rinoa:You're all so strong, there was nothing to worry about. Thanks for having my back!",Rinoa," You're all so strong, there was nothing to worry about. Thanks for having my back!",14
"Onion Knight:I-I guess... Well, I'm glad nothing happened. But next time, be more careful...",Onion Knight," I-I guess... Well, I'm glad nothing happened. But next time, be more careful...",12
Ace:It's rare to see you being so agreeable.,Ace, It's rare to see you being so agreeable.,7
"Onion Knight:There's not much I can do about it, not with her looking so darn happy...",Onion Knight," There's not much I can do about it, not with her looking so darn happy...",14
"Vivi:You worried about our safety and fought those monsters, even though we just met...",Vivi," You worried about our safety and fought those monsters, even though we just met...",13
Vivi:You're so kind.,Vivi, You're so kind.,2
"Rinoa:Not at all. I was just keeping a promise. I said I would help, and I'm no quitter!",Rinoa," Not at all. I was just keeping a promise. I said I would help, and I'm no quitter!",17
"Vivi:Even so, I really appreciate the help.",Vivi," Even so, I really appreciate the help.",6
Vivi:I'm glad to have you with us.,Vivi, I'm glad to have you with us.,6
"Rinoa:I know it's hard to help everyone in the world, but I still want to do as much as I can for the people I meet.",Rinoa," I know it's hard to help everyone in the world, but I still want to do as much as I can for the people I meet.",25
???:I thought I heard noises coming from this way... Hmm...,???, I thought I heard noises coming from this way... Hmm...,9
